"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Arraez, Luis","650333","88","11.3",40.9,"107.8","87.6","94.4","89.3","85.1","376","158","355","21",23.9,"0",0,0
"Bichette, Bo","666182","85","10.5",44.7,"110.6","91","101.8","96.9","87.7","372","164",,"43",50.6,"7",8.2,6.5
"Tucker, Kyle","663656","83","19.6",42.2,"108.1","91.1","100.6","94.6","84.8","427","211","402","38",45.8,"14",16.9,12.3
"Happ, Ian","664023","83","19.1",37.3,"112","87.4","99","92","83.9","404","172","374","29",34.9,"5",6,4.3
"Donovan, Brendan","680977","80","9.2",42.5,"109.2","89.6","101.1","92.7","86.9","404","165","386","36",45,"7",8.8,7.1
"Wilson, Jacob","805779","79","7.4",36.7,"108.5","86.3","96.4","86.4","88.1","414","129","378","23",29.1,"2",2.5,2.4
"Kwan, Steven","680757","78","10.7",37.2,"104.1","86.3","95.1","87.9","84.4","406","154","377","16",20.5,"2",2.6,2.1
"Díaz, Yandy","650490","78","0.3",20.5,"112.5","90.7","103.6","96.6","89.1","415","126","378","37",47.4,"6",7.7,6.2
"Naylor, Josh","647304","77","8.6",31.2,"110.8","91.8","102.2","91.8","92.5","417","156","392","34",44.2,"6",7.8,6.3
"Duran, Jarren","680776","77","11.1",35.1,"112","92.1","102.3","93.3","91.8","388","159","388","36",46.8,"7",9.1,6.4
"Chourio, Jackson","694192","76","11",30.3,"110","89.4","101.9","97.4","82.1","448","163","405","36",47.4,"9",11.8,8.7
"Witt Jr., Bobby","677951","76","12.2",39.5,"112.6","92","103.8","95.8","86.3","399","184","394","37",48.7,"8",10.5,8
"Edman, Tommy","669242","75","16.3",38.7,"108.6","90.7","101.4","93.5","88.9","423","187","401","36",48,"9",12,9.6
"Lindor, Francisco","596019","75","10.9",26.7,"109.7","90.6","101.6","95.4","85.7","412","160","396","36",48,"7",9.3,7
"Friedl, TJ","670770","75","17.2",32,"104.6","87.8","97.4","90","87.9","379","154","378","24",32,"1",1.3,1
"Bohm, Alec","664761","74","6.6",32.4,"109.3","91.6","101.3","93.6","91","394","148",,"38",51.4,"6",8.1,6.4
"Perdomo, Geraldo","672695","74","15",43.2,"105.6","89.8","97.4","92.4","88.4","399","185","380","23",31.1,"4",5.4,4
"Albies, Ozzie","645277","73","21.5",34.2,"106.8","85.3","95.8","90.2","81.7","413","173","376","20",27.4,"5",6.8,5.3
"Guerrero Jr., Vladimir","665489","73","8.1",35.6,"120.4","93.7","105.6","100","90.3","412","156","412","42",57.5,"9",12.3,8.8
"Turang, Brice","668930","73","4.5",35.6,"109.8","92.8","100.5","95.3","90.8","444","144","425","36",49.3,"6",8.2,6
"Hoerner, Nico","663538","73","10.3",27.4,"104.7","86.5","95.6","87.6","86.4","354","144",,"20",27.4,"0",0,0
"Tatis Jr., Fernando","665487","73","6.4",31.5,"112.8","94.6","104.2","99.8","90.2","427","159","406","39",53.4,"15",20.5,15.2
"Lee, Jung Hoo","808982","73","8.1",42.5,"104.5","90.4","99.1","91.3","89.5","406","163","385","27",37,"5",6.8,5.3
"Bregman, Alex","608324","72","20.3",30.6,"109.6","92.4","100.3","93.9","91.5","411","180","394","33",45.8,"6",8.3,5.8
"Arenado, Nolan","571448","72","17.9",22.2,"107.9","85.9","95.9","88.5","85.9","390","158","378","19",26.4,"3",4.2,3.3
"Edwards, Xavier","669364","72","10.6",33.3,"102.5","83.8","94.2","87.6","82.1","340","146",,"17",23.6,"0",0,0
"Altuve, Jose","514888","71","16.2",18.3,"107","85.4","97.7","92.8","85","402","134","372","27",38,"4",5.6,4.2
"Machado, Manny","592518","71","12.9",36.6,"110.9","92.5","103.7","95.8","90.8","401","164","395","40",56.3,"8",11.3,8.4
"Ramírez, José","608070","71","26.2",40.8,"111.3","88.3","97.8","92.1","85.7","408","206","391","23",32.4,"8",11.3,9
"Nimmo, Brandon","607043","70","8.9",31.4,"108.3","91.6","101.8","95.4","89.4","412","163","395","39",55.7,"8",11.4,8.4
"Santander, Anthony","623993","70","18.1",27.1,"110.4","90.1","98.9","92.3","88.8","409","165","407","25",35.7,"3",4.3,2.9
"Gurriel Jr., Lourdes","666971","70","20.4",41.4,"109.1","88.4","99.8","92.8","80.9","416","206","412","27",38.6,"6",8.6,7.1
"Crow-Armstrong, Pete","691718","70","19.7",37.1,"108.6","88.6","98.3","92.3","83.3","412","173","384","25",35.7,"5",7.1,4.9
"Giménez, Andrés","665926","69","7",31.9,"105.6","88.1","98.1","92.9","83","407","166","385","22",31.9,"3",4.3,3.1
"Frelick, Sal","686217","69","3.4",30.4,"104.8","84.6","97","91","80.4","408","114","408","22",31.9,"1",1.4,1.1
"Goldschmidt, Paul","502671","69","12.7",43.5,"109.2","87.6","99.8","91.7","80.3","413","172","413","24",34.8,"4",5.8,4.2
"Santana, Carlos","467793","69","12.3",30.4,"111.3","87.2","99.6","92","89","415","143","413","26",37.7,"6",8.7,6.3
"Lopez, Otto","672640","69","4.3",37.7,"109.9","85.9","96.7","88.9","82.5","418","150","402","19",27.5,"7",10.1,7.8
"Ramos, Heliot","671218","69","11.2",33.3,"110.5","89.9","101.6","97.1","86.2","394","163","363","31",44.9,"8",11.6,7.8
"Alonso, Pete","624413","69","17.2",43.5,"114.5","95.6","106.6","99.6","90.6","443","198","402","40",58,"15",21.7,15.2
"Nootbaar, Lars","663457","68","17",35.3,"112.7","90.4","102.4","93.5","88.4","418","170","399","32",47.1,"6",8.8,5.9
"Soto, Juan","665742","68","6",23.5,"112.4","93","103.3","96.9","90.6","405","134","382","34",50,"4",5.9,4
"Ortiz, Joey","687401","68","18.7",26.5,"108.9","82.7","96.4","88.9","79.5","376","141",,"21",30.9,"1",1.5,1.1
"Swanson, Dansby","621020","68","17.9",30.9,"108.6","91.7","102","96.2","88.8","420","173","413","36",52.9,"7",10.3,6.7
"France, Ty","664034","67","8.6",37.3,"108.2","89.5","99.4","93.6","85.5","411","160","405","27",40.3,"5",7.5,5.8
"Adames, Willy","642715","67","21.5",28.4,"109.6","88.8","98.8","95.1","81","384","180","378","28",41.8,"5",7.5,4.9
"Peña, Jeremy","665161","67","9.6",32.8,"107.2","89.9","101.4","94","87.4","407","153","387","32",47.8,"7",10.4,7.8
"Ward, Taylor","621493","67","18.1",31.3,"110.3","91.1","101.8","95.2","86.3","413","188","372","32",47.8,"7",10.4,7.5
"Harris II, Michael","671739","67","6.7",35.8,"112.3","89.7","101.9","94","87.3","446","157","412","24",35.8,"7",10.4,7.8
"Butler, Lawrence","671732","67","11.8",25.4,"111.1","92.3","102.9","95.3","90.6","435","162","425","32",47.8,"7",10.4,7.4
"Carroll, Corbin","682998","67","16.7",34.3,"115.8","93.1","105.9","98.3","90","434","182","407","38",56.7,"12",17.9,11.5
"Rooker, Brent","667670","67","15.1",37.3,"110.3","92.4","101.7","97.3","86.7","425","188","393","34",50.7,"11",16.4,11
"Perez, Salvador","521692","66","18.7",40.9,"110.6","91.1","102.2","94.4","86.5","418","202","406","32",48.5,"11",16.7,11.6
"Pasquantino, Vinnie","686469","66","19.4",31.8,"111","90.1","98.9","91.7","89.3","389","196","386","27",40.9,"5",7.6,5.5
"Rengifo, Luis","650859","66","0.7",33.3,"106.4","84.4","95.9","92","79","402","131","402","16",24.2,"3",4.5,3.6
"India, Jonathan","663697","66","22.7",31.8,"107.2","89.5","98.5","91.7","91.5","401","174",,"25",37.9,"2",3,2.2
"Betts, Mookie","605141","66","13.5",33.3,"101.5","87.4","95.9","88.5","86.3","397","183","380","19",28.8,"2",3,2.3
